transactionDate,transactionType,Vch/Bill No,Account,amount, Credit ,debitGlAccountId,creditGlAccountId
,,,List of Journal Vouchers,,,,
,,,From 1-4-2019 to 10-5-2019,,,,
,,,,,,,
,,,,,,,
2019-04-01 00:00:00,INTERNAL_ACCTG_TRANS,1,Travelling Exp.,9667,0,P500359,C927531
,, ,Shreedestnations Travel Pvt. Ltd,0,9667,,
2019-04-01 00:00:00,INTERNAL_ACCTG_TRANS,2,Travelling Exp.,98277.64,0,P500359,P210003
,, ,Exp. Payble,0,98277.64,,
2019-04-01 00:00:00,INTERNAL_ACCTG_TRANS,3,Exp. Payble,9667,0,P210003,P500359
,, ,Travelling Exp.,0,9667,,
2019-04-03 00:00:00,INTERNAL_ACCTG_TRANS,4,Exp. Payble,5900,0,P210003,P500328
2019-04-03 00:00:00,INTERNAL_ACCTG_TRANS,4,,2520,0,P210003,P500808
,, ,Repair & Maint. (Other),0,5900,P500328,
,, ,Research & Development,0,2520,P500808,
2019-04-03 00:00:00,INTERNAL_ACCTG_TRANS,5,Research & Development,280,0,P500808,C131000
2019-04-03 00:00:00,INTERNAL_ACCTG_TRANS,5,Housekeeping Exp.,2100,0,P500333,C131000
2019-04-03 00:00:00,INTERNAL_ACCTG_TRANS,5,Repair & Maint. (Other),180,0,P500328,C131000
,, ,Advance - Gaurav Johri,0,2560,C131000,
2019-04-03 00:00:00,INTERNAL_ACCTG_TRANS,6,Housekeeping Exp.,2936,0,P500333,C131000
,, ,Advance - Gaurav Johri,0,2936,,
2019-04-04 00:00:00,INTERNAL_ACCTG_TRANS,7,Pantry Exp.,900,0,P500701,C924512
,, ,Advance Kamles Rajput,0,900,,
2019-04-06 00:00:00,INTERNAL_ACCTG_TRANS,8,Freight Inward - Rawmaterial,7020,0,P500810,110000
2019-04-06 00:00:00,INTERNAL_ACCTG_TRANS,8,CGST Revers Charges Input,176,0,C951510,C951508
2019-04-06 00:00:00,INTERNAL_ACCTG_TRANS,8,SGST Revers Charges Input,176,0,C951511,C951509
,, ,Cash,0,7020,,
,, ,CGST Revers Charges Output,0,176,,
,, ,CGST Revers Charges Output,0,176,,
2019-04-06 00:00:00,INTERNAL_ACCTG_TRANS,9,TRADE MARK FEES,2700,0,P500378,C926509
